case,twist,youngs_modulus,base_radius,density,coner_angle,length,tgt_dir
2,-8.611093929946971,0.00333421860274377,2.221018286231589,1.2673482382305e-06,2.9019187187867255,167.66914394980756,"[[np.float64(-0.455095168979735) np.float64(0.0)
  np.float64(-0.890442803986481)]
 [np.float64(-0.7966023062857978) np.float64(0.4468404396006296)
  np.float64(0.40713436007989323)]
 [np.float64(0.35394887219781507) np.float64(0.907851759930704)
  np.float64(-0.22477850844913588)]]"
2,-4.568474982014661,0.0039405746842764615,2.242014023245071,1.2370009287469727e-06,3.971236544667491,164.68199341945177,"[[np.float64(-0.455095168979735) np.float64(0.0)
  np.float64(-0.890442803986481)]
 [np.float64(-0.7966023062857978) np.float64(0.4468404396006296)
  np.float64(0.40713436007989323)]
 [np.float64(0.3973823214409175) np.float64(0.8769240345270577)
  np.float64(-0.27035444933460073)]]"
2,9.242593234025296,0.003755522210297527,2.607352845999669,1.3148052980168797e-06,8.476794261248198,174.86361123013887,"[[np.float64(-0.455095168979735) np.float64(0.0)
  np.float64(-0.890442803986481)]
 [np.float64(-0.7966023062857978) np.float64(0.4468404396006296)
  np.float64(0.40713436007989323)]
 [np.float64(0.40814140255108744) np.float64(0.9111482713270916)
  np.float64(-0.05682801405366736)]]"
2,6.578320630453767,0.003922781562236187,2.5218581141138414,1.3346755019300855e-06,5.338432875715169,174.58379895909937,"[[np.float64(-0.455095168979735) np.float64(0.0)
  np.float64(-0.890442803986481)]
 [np.float64(-0.7966023062857978) np.float64(0.4468404396006296)
  np.float64(0.40713436007989323)]
 [np.float64(0.4719966426841904) np.float64(0.8491970287024745)
  np.float64(-0.23681971146368197)]]"
2,8.17343817816922,0.003703392322939983,2.3765395449850635,1.2525081394396428e-06,8.553992816800331,158.84716680024317,"[[np.float64(-0.455095168979735) np.float64(0.0)
  np.float64(-0.890442803986481)]
 [np.float64(-0.7966023062857978) np.float64(0.4468404396006296)
  np.float64(0.40713436007989323)]
 [np.float64(0.5251225488035192) np.float64(0.8203157390555355)
  np.float64(-0.2265577122851182)]]"
2,5.222098117557962,0.0035253221332369336,2.6697911432820627,1.1418795805843647e-06,4.844490976825057,171.2675111036192,"[[np.float64(-0.455095168979735) np.float64(0.0)
  np.float64(-0.890442803986481)]
 [np.float64(-0.7966023062857978) np.float64(0.4468404396006296)
  np.float64(0.40713436007989323)]
 [np.float64(0.47394203264251755) np.float64(0.8585451743889272)
  np.float64(-0.19565053853277678)]]"
2,4.842243641529613,0.003454441937876811,2.397208804895517,1.1917313973517978e-06,4.422475285135564,155.54679010508588,"[[np.float64(-0.455095168979735) np.float64(0.0)
  np.float64(-0.890442803986481)]
 [np.float64(-0.7966023062857978) np.float64(0.4468404396006296)
  np.float64(0.40713436007989323)]
 [np.float64(0.3863313150712479) np.float64(0.9132428052692583)
  np.float64(-0.1293665088779002)]]"
2,-6.228166244958521,0.003799341448784268,2.461798980833628,1.2214552633860117e-06,9.57578501696144,160.29347510696974,"[[np.float64(-0.455095168979735) np.float64(0.0)
  np.float64(-0.890442803986481)]
 [np.float64(-0.7966023062857978) np.float64(0.4468404396006296)
  np.float64(0.40713436007989323)]
 [np.float64(0.32989549287438774) np.float64(0.9422024332597903)
  np.float64(-0.05851101213015528)]]"
2,-9.409666937238718,0.003408457900473057,2.432349449857899,1.2168269270639841e-06,7.097418212397772,157.1578990507803,"[[np.float64(-0.455095168979735) np.float64(0.0)
  np.float64(-0.890442803986481)]
 [np.float64(-0.7966023062857978) np.float64(0.4468404396006296)
  np.float64(0.40713436007989323)]
 [np.float64(0.2996118249484923) np.float64(0.9131726639059448)
  np.float64(-0.2763122151587848)]]"
2,1.1048310008413473,0.0038622368821104613,2.3143255136167062,1.170623635238088e-06,5.630718696743386,150.84120530684916,"[[np.float64(-0.455095168979735) np.float64(0.0)
  np.float64(-0.890442803986481)]
 [np.float64(-0.7966023062857978) np.float64(0.4468404396006296)
  np.float64(0.40713436007989323)]
 [np.float64(0.30729600883365643) np.float64(0.9240500249516911)
  np.float64(-0.22737791084818346)]]"
